HH_Id,New_Var_Last5Yrs_Yn,Num_Cult_Variety,Info_Var
245,0,,
246,0,,
247,0,,
251,0,,
252,0,,
253,0,,
255,0,,
256,0,,
257,0,,
258,0,,
383,0,,
385,0,,
386,0,,
388,0,,
389,0,,
390,0,,
391,0,,
392,0,,
393,0,,
394,1,1,1
395,0,,
529,0,,
531,1,2,1
532,1,1,1
533,1,2,1
535,1,1,1
536,0,,
537,0,,
538,0,,
539,0,,
561,0,,
563,1,1,1
564,0,,
565,0,,
567,0,,
568,1,2,1
569,1,1,1
570,0,,
571,0,,
572,0,,
573,0,,
574,1,2,1
575,1,2,1
576,1,2,1
943,1,1,1
944,1,1,1
945,1,2,1
946,1,1,1
948,0,,
949,0,,
951,1,1,1
952,0,,
956,0,,
957,1,1,1
958,1,1,1
959,0,,
960,0,,
961,0,,
962,1,1,1
963,1,1,1
964,0,,
965,0,,
967,0,,
968,0,,
969,1,1,1
971,0,,
973,1,2,1
1047,1,3,1
1048,0,,
1049,0,,
1050,1,3,1
1051,0,,
1052,0,,
1055,0,,
1056,1,1,1
1057,1,1,1
1058,1,1,1
1059,0,,
1060,0,,
1117,1,2,1
1118,1,1,1
1120,0,,
1121,0,,
1122,0,,
1124,0,,
1127,1,1,1
1131,0,,
1344,1,1,1
1346,0,,
1347,0,,
1349,0,,
1350,1,1,1
1352,1,1,1
1354,0,,
1356,0,,
1357,0,,
1358,0,,
1359,0,,
1379,1,1,1
1380,1,1,1
1381,0,,
1382,1,2,1
1383,0,,
1385,0,,
1386,0,,
1387,1,2,1
1388,0,,
1390,0,,
1391,1,1,1
1393,1,2,1
1394,0,,
1396,0,,
1397,0,,
1398,0,,
1399,1,2,1
1400,0,,
1502,1,1,1
1504,1,2,1
1505,1,1,1
1506,0,,
1507,0,,
1508,0,,
1509,0,,
1559,1,1,1
1561,1,1,1
1562,0,,
1563,0,,
1895,0,,
1897,0,,
1899,0,,
1923,0,,
1925,0,,
1926,0,,
1930,1,2,1
